fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
ALBUSKJELL,7.40,15.60,1.00,0.00,24.90,0.00,0.00,0.00,0.00,0.00,31.12.2012,43437,05.11.2013
ALVE,1.90,5.70,1.10,0.00,9.69,0.80,2.70,0.60,0.00,4.64,31.12.2012,4444332,05.11.2013
ALVHEIM,37.20,6.80,0.00,0.00,44.00,17.50,4.70,0.00,0.00,22.20,31.12.2012,2845712,05.11.2013
ATLA,0.30,1.40,0.00,0.00,1.70,0.30,1.30,0.00,0.00,1.60,31.12.2012,21106284,05.11.2013
BALDER,72.10,2.00,0.00,0.00,74.10,16.20,0.60,0.00,0.00,16.80,31.12.2012,43562,05.11.2013
BLANE,0.80,0.00,0.00,0.00,0.80,0.30,0.00,0.00,0.00,0.30,31.12.2012,3437650,05.11.2013
BRAGE,59.30,4.50,1.50,0.00,66.65,4.00,1.20,0.30,0.00,5.77,31.12.2012,43651,05.11.2013
BRYNHILD,3.60,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,3.60,31.12.2012,21123063,05.11.2013
BØYLA,3.40,0.30,0.00,0.00,3.70,3.40,0.30,0.00,0.00,3.70,31.12.2012,22492497,05.11.2013
COD,2.90,7.30,0.50,0.00,11.15,0.00,0.00,0.00,0.00,0.00,31.12.2012,43785,05.11.2013
DRAUGEN,146.70,1.60,2.80,0.00,153.62,14.90,0.10,0.40,0.00,15.76,31.12.2012,43758,05.11.2013
EDDA,4.80,2.00,0.20,0.00,7.18,0.00,0.00,0.00,0.00,0.00,31.12.2012,43541,05.11.2013
EDVARD GRIEG,26.20,1.80,0.60,0.00,29.14,26.20,1.80,0.60,0.00,29.14,31.12.2012,21675433,05.11.2013
EKOFISK,569.20,164.50,15.20,0.00,762.58,129.80,22.80,2.20,0.00,156.78,31.12.2012,43506,05.11.2013
ELDFISK,137.90,44.80,4.10,0.00,190.49,37.30,5.40,0.20,0.00,43.08,31.12.2012,43527,05.11.2013
EMBLA,11.90,7.50,0.70,0.00,20.73,1.50,3.60,0.30,0.00,5.67,31.12.2012,43534,05.11.2013
ENOCH,0.40,0.00,0.00,0.00,0.40,0.10,0.00,0.00,0.00,0.10,31.12.2012,3437659,05.11.2013
FRAM,30.70,8.80,0.60,0.00,40.64,5.90,6.30,0.40,0.00,12.96,31.12.2012,1578840,05.11.2013
FRIGG,0.00,116.20,0.00,0.50,116.70,0.00,0.00,0.00,0.00,0.00,31.12.2012,43555,05.11.2013
FRØY,5.60,1.60,0.00,0.10,7.30,0.00,0.00,0.00,0.00,0.00,31.12.2012,43597,05.11.2013
GAUPE,0.20,0.50,0.00,0.00,0.70,0.10,0.30,0.00,0.00,0.40,31.12.2012,18161341,05.11.2013
GIMLE,3.00,1.40,0.30,0.00,4.97,0.40,1.00,0.20,0.00,1.78,31.12.2012,4005142,05.11.2013
GJØA,11.60,32.70,8.70,0.00,60.83,6.40,27.80,7.60,0.00,48.64,31.12.2012,4467574,05.11.2013
GLITNE,8.90,0.00,0.00,0.00,8.90,0.00,0.00,0.00,0.00,0.00,31.12.2012,1272071,05.11.2013
GOLIAT,30.20,7.30,0.30,0.00,38.07,30.20,7.30,0.30,0.00,38.07,31.12.2012,5774394,05.11.2013
GRANE,124.60,0.00,0.00,0.00,124.60,36.10,0.00,0.00,0.00,36.10,31.12.2012,1035937,05.11.2013
GUDRUN,11.70,6.40,1.30,0.00,20.57,11.70,6.40,1.30,0.00,20.57,31.12.2012,18116481,05.11.2013
GULLFAKS,365.50,23.10,2.80,0.00,393.92,11.60,0.00,0.00,0.00,11.60,31.12.2012,43686,05.11.2013
GULLFAKS SØR,58.80,65.10,9.20,0.00,141.38,16.60,32.10,5.00,0.00,58.20,31.12.2012,43699,05.11.2013
GUNGNE,0.00,15.20,2.20,4.70,24.08,0.00,1.30,0.30,0.40,2.27,31.12.2012,43464,05.11.2013
GYDA,36.50,6.70,2.00,0.00,47.00,0.90,0.50,0.10,0.00,1.59,31.12.2012,43492,05.11.2013
HEIDRUN,182.10,46.50,2.20,0.00,232.78,40.10,31.30,1.70,0.00,74.63,31.12.2012,43771,05.11.2013
HEIMDAL,8.20,46.90,0.00,0.00,55.10,1.60,1.70,0.00,0.00,3.30,31.12.2012,43590,05.11.2013
HOD,10.40,1.80,0.40,0.00,12.96,0.90,0.20,0.10,0.00,1.29,31.12.2012,43485,05.11.2013
HULDRA,5.10,17.50,0.10,0.00,22.79,0.00,0.70,0.00,0.00,0.70,31.12.2012,97002,05.11.2013
HYME,3.20,0.50,0.20,0.00,4.08,3.20,0.50,0.20,0.00,4.08,31.12.2012,20474183,05.11.2013
ISLAY,0.00,0.10,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.10,31.12.2012,21105675,05.11.2013
JETTE,1.50,0.10,0.00,0.00,1.60,1.50,0.10,0.00,0.00,1.60,31.12.2012,21613906,05.11.2013
JOTUN,23.40,1.10,0.00,0.00,24.50,0.70,0.20,0.00,0.00,0.90,31.12.2012,43604,05.11.2013
KNARR,11.90,0.30,0.80,0.00,13.72,11.90,0.30,0.80,0.00,13.72,31.12.2012,20460988,05.11.2013
KRISTIN,22.90,28.70,6.30,2.10,65.67,6.00,9.70,2.30,0.00,20.07,31.12.2012,1854729,05.11.2013
